Wall time,Step,Value
1581271554.6237998,0,0.46130993962287903
1581271731.2457714,250,0.336830198764801
1581271921.0770147,500,0.2784939110279083
1581272125.142997,750,0.3443244993686676
1581272309.9811456,1000,0.28638437390327454
1581272490.7683947,1250,0.265594482421875
1581272671.5588624,1500,0.2851114571094513
1581272989.3008106,1750,0.21818514168262482
1581273203.842001,2000,0.20991408824920654
1581274929.904788,4000,0.2119196504354477
1581276405.0242002,6000,0.1692049652338028
1581278053.746547,8000,0.17997652292251587
1581279489.8961282,10000,0.14106063544750214
1581281021.9335957,12000,0.19865016639232635
1581282651.8628829,14000,0.17005926370620728
1581284092.8287477,16000,0.19856929779052734
1581285524.5973527,18000,0.15827640891075134
1581286961.815679,20000,0.1607149839401245
1581288547.3374119,22000,0.15018869936466217
1581290101.3439782,24000,0.1253056526184082
1581291520.9902816,26000,0.14508043229579926
1581292950.5065265,28000,0.15924061834812164
1581294384.691091,30000,0.1957673579454422
1581295803.2440486,32000,0.1373470425605774
1581297230.0934367,34000,0.12259571999311447
1581298646.0947258,36000,0.15721078217029572
1581300063.484327,38000,0.13641971349716187
1581301485.056949,40000,0.14192579686641693
1581302899.5549839,42000,0.1404193788766861
1581304320.464122,44000,0.11466396600008011
1581305734.8663616,46000,0.11104553937911987
1581307155.9587424,48000,0.12309063971042633
1581308579.1487443,50000,0.09977123141288757
1581309984.5564687,52000,0.1229347214102745
1581311404.7421963,54000,0.13305434584617615
1581312810.1704576,56000,0.11384986340999603
1581314226.7459755,58000,0.10494168102741241
1581315649.381157,60000,0.1713740974664688
1581317056.7214422,62000,0.12473464757204056
1581318472.771917,64000,0.14783594012260437
1581319877.2552648,66000,0.09821634739637375
