Wall time,Step,Value
1581272186.877272,0,0.4722338914871216
1581272469.522608,250,0.46389198303222656
1581272745.3098698,500,0.40340524911880493
1581273016.924873,750,0.22160154581069946
1581273294.2914658,1000,0.2443544715642929
1581273565.6776328,1250,0.22687627375125885
1581273839.1122317,1500,0.18750590085983276
1581274112.5222795,1750,0.23164844512939453
1581274382.714787,2000,0.34906259179115295
1581276546.3893433,4000,0.1553274691104889
1581278695.7805092,6000,0.15425170958042145
1581280860.0693054,8000,0.17254576086997986
1581283026.6937873,10000,0.1991545408964157
1581285176.2665064,12000,0.15029920637607574
1581287347.25865,14000,0.1270088404417038
1581289491.8530514,16000,0.13419649004936218
1581291652.2818105,18000,0.1051720380783081
1581293820.3417645,20000,0.1369970291852951
1581295970.7279131,22000,0.13015057146549225
1581298136.4720356,24000,0.12217964231967926
1581300282.1417503,26000,0.1509084850549698
1581302449.0902553,28000,0.12077350169420242
1581304617.3603027,30000,0.17680895328521729
1581306761.559918,32000,0.10783325135707855
1581308921.0297198,34000,0.17650087177753448
1581311057.9434917,36000,0.13472874462604523
1581313225.5832105,38000,0.13959792256355286
1581315382.363558,40000,0.10306589305400848
1581317521.681184,42000,0.12633515894412994
1581319680.874329,44000,0.10155583173036575
1581321789.2993503,46000,0.13952013850212097
1581323939.1401887,48000,0.11551681905984879
1581326100.8608413,50000,0.18214568495750427
1581328231.636251,52000,0.1181211918592453
1581330387.2779443,54000,0.1394929438829422
1581332529.7412474,56000,0.19462622702121735
1581334689.1651368,58000,0.10164837539196014
1581336861.6662176,60000,0.09431232511997223
1581339004.1710227,62000,0.15558190643787384
1581341169.4060113,64000,0.09709936380386353
1581343315.005529,66000,0.1193300262093544
